id,chapter,question,option_a,option_b,option_c,option_d,correct_option,explanation
,1,Un client vous demande de remplacer ses fonds communs à frais élevés par des FNB à faible coût pour réduire ses frais. Quel sera l'effet le plus probable de cette migration sur la rémunération des conseillers en gestion de patrimoine à long terme ?,"La rémunération pourrait rester proche du niveau actuel si l'accroissement des actifs sous gestion compense la baisse des marges unitaires, préservant ainsi le revenu total.",La rémunération des conseillers diminuera probablement au fil du temps en raison de la baisse du ratio des frais de gestion (RFG) et de la pression sur les prix.,"La rémunération restera stable car les FNB offrent des rétrocessions et frais de distribution similaires aux fonds communs, maintenant ainsi les commissions liées aux produits.",La rémunération pourrait augmenter à court terme si les conseillers passent à un modèle de frais fixes pour compenser la baisse des commissions sur produits à gestion passive.,B,"B est correcte. Le remplacement de fonds communs coûteux par des FNB à faible coût réduit le RFG moyen et diminue les commissions et rétrocessions attachées aux produits, ce qui érode progressivement la rémunération liée aux ventes de produits. La concurrence par les prix et la transparence des coûts conduisent à une pression durable sur les honoraires, de sorte que la rémunération des conseillers tendra à diminuer à long terme en raison de la baisse des marges unitaires — c'est l'effet direct de la réduction des RFG et de la pression concurrentielle. Ceci illustre l'impact des RFG et de la concurrence sur la rémunération des conseillers."
,1,Votre firme veut offrir la négociation de contrats à terme sur cryptomonnaie. Quelle exigence réglementaire IIROC spécifique devez-vous prévoir avant de lancer ces opérations ?,"Mettre en place des obligations accrues de divulgation client et de formation des courtiers, en priorisant les contrôles opérationnels plutôt que l'ajustement des niveaux de marge pour contrats à terme.",Faire enregistrer la plateforme comme bourse de valeurs et obtenir une reconnaissance fédérale similaire aux marchés traditionnels avant de lancer des contrats à terme sur cryptomonnaie.,"Appliquer les règles de ségrégation des avoirs clients prévues pour les titres traditionnels aux contrats à terme sur cryptomonnaie, en tenant séparément tous les actifs numériques reçus.",Imposer des marges supérieures pour les contrats à terme sur cryptomonnaie et appliquer des mesures de conformité additionnelles pour les plateformes de négociation de cryptomonnaie.,D,"D est correcte. IIROC demande aux courtiers qui offrent des contrats à terme sur cryptomonnaie de prévoir des marges supérieures et des mesures de conformité additionnelles pour compenser la volatilité, les risques de liquidité et les risques opérationnels propres aux actifs numériques. Ce choix reflète le principe testé : les exigences réglementaires spécifiques aux cryptomonnaies insistent d'abord sur des exigences de marge et des contrôles renforcés avant le lancement des opérations."
,1,"Vous planifiez une série de publications sur les réseaux sociaux, préparées pour attirer de jeunes clients potentiels. Quelle est l'action que vous devez obligatoirement accomplir avant diffusion?",Faire valider le contenu par le service juridique externe avant diffusion et archiver selon besoin.,Faire approuver le contenu par la firme et veiller à son archivage conforme aux politiques internes.,"Obtenir l'approbation du service marketing, puis publier et stocker les posts sur la plateforme interne.",Programmer la diffusion après approbation orale du responsable conformité et conserver des copies locales pour traçabilité.,B,B est correcte. La firme doit approuver tout contenu destiné à attirer des clients potentiels et veiller à son archivage conforme afin d'assurer la conformité réglementaire et la traçabilité des communications. Ce principe relève de la conformité des communications clients : approbation préalable par la firme et conservation selon les politiques internes garantissent responsabilité et preuve en cas de contrôle. Pourquoi A est incorrecte: S'en remettre uniquement à un avis juridique externe et archiver 'selon besoin' ne satisfait pas l'obligation d'approbation formelle et de tenue des dossiers par la firme. Pourquoi D est incorrecte: Une approbation orale et des copies locales ne garantissent pas l'approbation documentée ni l'archivage centralisé requis par les politiques internes.
,1,Un client vous demande si les caisses de crédit et les banques sont régies par les mêmes autorités; quelle affirmation décrit le mieux la répartition des pouvoirs réglementaires?,Les banques et les caisses sont supervisées par des autorités fédérales et provinciales; les banques relèvent du fédéral mais les provinces conservent aussi des pouvoirs de surveillance.,"Les caisses de crédit sont constituées et réglementées au niveau provincial, mais si elles offrent des services interprovinciaux elles doivent se conformer à certaines exigences fédérales.",Les banques sont réglementées principalement au niveau fédéral; les caisses de crédit et les caisses Desjardins sont constituées et réglementées au niveau provincial.,"Les banques sont régies par des lois fédérales, tandis que les caisses de crédit relèvent de chartes provinciales; toutefois, certaines règles fédérales comme la LCB/FT s’appliquent aux deux.",C,"C est correcte. Les banques canadiennes sont constituées et réglementées principalement au niveau fédéral, tandis que les caisses de crédit et les caisses Desjardins sont créées et supervisées sous des chartes provinciales. Cela illustre la répartition fédérale/provinciale : constitution et supervision prudente des banques = fédéral, des caisses de crédit = provincial. Pourquoi A est incorrecte: Elle suggère à tort que les provinces exercent une surveillance équivalente sur les banques fédérales. Pourquoi B est incorrecte: Elle laisse entendre qu'une activité interprovinciale entraîne automatiquement une constitution ou supervision fédérale, ce qui n'est pas le cas. Pourquoi D est incorrecte: Bien que certaines règles fédérales (p.ex. dispositions anti-blanchiment) puissent s'appliquer à des institutions provinciales, cela ne change pas le fait que les caisses sont constituées et régulées principalement au niveau provincial, donc la formulation peut prêter à confusion."
,1,Un client dirige une entreprise et détient une position fortement concentrée en actions de sa société; il vous demande comment réduire le risque et structurer ses revenus futurs. Quelle compétence technique du conseiller est la plus directement pertinente pour traiter cette situation?,Préconiser la vente significative des actions de la société pour diversifier le portefeuille et structurer des revenus récurrents par réallocation immédiate des liquidités.,"Utiliser principalement l'assurance vie pour capturer la valeur des actions concentrées et créer des revenus successoraux, en s'appuyant sur des liquidités d'assurance plutôt que sur diversification active.",Mettre en place une stratégie de couverture par options (puts) pour neutraliser le risque de marché à court terme et générer un flux de primes sans modifier la structure patrimoniale.,Employer des techniques de gestion du risque avancées pour établir un plan intégré de préservation du patrimoine (incluant la gestion des positions concentrées en actions).,D,"D est correcte. Un plan intégré de préservation du patrimoine utilisant des techniques avancées de gestion du risque permet d'aborder simultanément la diversification, la fiscalité, la liquidité et la structuration des revenus pour une position fortement concentrée. C'est la compétence la plus directement pertinente car elle englobe l'évaluation du risque, la conception de solutions (ventes échelonnées, couvertures adaptées, transferts et optimisation fiscale) et la planification successorale nécessaires pour réduire le risque et sécuriser des revenus futurs. Pourquoi A est incorrecte: Proposer une vente significative immédiatement est trop prescriptif car cela néglige souvent les conséquences fiscales, le timing et la nécessité d'une stratégie intégrée. Pourquoi C est incorrecte: La couverture par options protège le risque de marché à court terme mais ne remplace pas une stratégie globale de diversification et de structuration pérenne des revenus. Pourquoi B est incorrecte: S'appuyer principalement sur l'assurance vie peut aider en planification successorale mais ne traite pas à lui seul la diversification, la liquidité et les contraintes fiscales d'une position concentrée."
,1,Une cliente commence par confier une petite portion de ses actifs et augmente progressivement la part gérée par vous à mesure qu’elle vous fait confiance. Quelle qualité non technique est la plus importante pour favoriser ce type d’évolution de la relation client?,Insister sur la conformité réglementaire et la documentation détaillée pour démontrer professionnalisme et sécurité des actifs.,Mettre en avant des performances passées et des rapports réguliers pour rassurer le client sur la compétence.,Cultiver une relation amicale et des interactions sociales régulières pour créer un lien personnel et encourager la délégation d'actifs.,"Gagner et maintenir la confiance du client grâce à l’honnêteté, l’intégrité et de bonnes aptitudes à la communication.",D,"D est correcte. Gagner et maintenir la confiance par l’honnêteté, l’intégrité et une communication claire réduit l’incertitude du client et l’encourage à augmenter graduellement les actifs confiés. Ces qualités non techniques créent une crédibilité durable et facilitent une relation progressive basée sur la transparence et la fiabilité. Pourquoi B est incorrecte: Les performances passées peuvent rassurer ponctuellement mais n'établissent pas durablement la confiance ni la transparence requises. Pourquoi A est incorrecte: La conformité et la documentation démontrent le sérieux, mais sans honnêteté et communication elles ne suffisent pas à faire croître la confiance personnelle du client. Pourquoi C est incorrecte: Une relation amicale peut favoriser le contact, mais les liens sociaux seuls ne garantissent pas la confiance professionnelle nécessaire pour que le client augmente ses actifs confiés."
,1,Vous identifiez un besoin client qui dépasse votre expertise technique (p. ex. planification successorale complexe). Quelle est l’action professionnelle appropriée?,Coordonner et intégrer les recommandations d’un avocat en prenant en charge la mise en œuvre pour le client.,Référer le client à un fiscaliste pour optimiser les déductions et réduire l’impôt avant la transmission du patrimoine.,Travailler avec ou diriger le client vers un expert interne ou externe possédant cette compétence spécifique.,"Proposer un modèle successoral interne adaptable, puis consulter un expert pour valider les points techniques spécifiques.",C,"C est correcte. Diriger le client vers un expert interne ou externe garantit que le client reçoit des conseils techniques spécialisés et protège votre responsabilité professionnelle en évitant de donner des recommandations au‑delà de votre compétence. Cela permet également de coordonner les interventions entre le conseiller et le spécialiste pour assurer cohérence et conformité aux exigences réglementaires. Pourquoi B est incorrecte: Référer seulement à un fiscaliste suppose que le besoin est purement fiscal et néglige d'autres compétences nécessaires (juridique, successoral). Pourquoi A est incorrecte: Prendre en charge la mise en œuvre des recommandations juridiques peut vous placer hors de votre champ de compétence et de vos obligations professionnelles; votre rôle est de coordonner, pas d'exécuter des actes réservés. Pourquoi D est incorrecte: Proposer d'abord un modèle interne avant de consulter un expert expose le client à des conseils inappropriés; il faut impliquer le spécialiste dès la conception."
,1,Un client retraité vous appelle inquiet après une forte volatilité du marché et dit envisager de transférer ses comptes parce qu’il ne vous « sent » plus. Quelle est la meilleure première action à poser?,"Notifier immédiatement le service conformité et proposer de geler temporairement tout mouvement sur le compte pendant que l’équipe examine la convenance des placements, puis revenir vers le client avec une recommandation formelle.","Envoyer rapidement au client un rapport chiffré et une analyse de scénarios par courriel, en expliquant l’impact de la volatilité, puis proposer un rendez‑vous pour discuter des options après qu’il ait examiné les chiffres.","Accepter de réduire l’exposition en vendant une part significative des actifs risqués pour aligner immédiatement le portefeuille sur l’aversion au risque du client, puis planifier une révision pour documenter la décision.","Le contacter rapidement, exprimer de l’empathie, expliquer clairement l’impact de la volatilité sur son portefeuille et proposer un examen concret (rééquilibrage ou ajustement de la tolérance au risque) avec des solutions alternatives.",D,"D est correcte. Contacter rapidement le client et exprimer de l’empathie permet d’apaiser son anxiété, de rétablir la confiance et d’expliquer clairement l’impact de la volatilité sur son portefeuille avant toute décision hâtive. Proposer un examen concret (rééquilibrage ou ajustement de la tolérance au risque) donne des options actionnables et répond au concept testé de communication et maintien de la relation en assurant la convenance des mesures. Pourquoi B est incorrecte: Envoyer seulement des chiffres par courriel retarde la réponse empathique dont a besoin un client inquiet et peut aggraver son mécontentement. Pourquoi C est incorrecte: Vendre massivement sans discussion risque une décision impulsive non documentée et potentiellement inappropriée par rapport au profil du client. Pourquoi A est incorrecte: Geler le compte et escalader immédiatement est disproportionné sans signes de malversation et prive le client d’une réponse humaine immédiate."
,1,"Un client vous demande un accompagnement en transition de carrière, domaine dans lequel vous n’avez pas de formation. Quelle démarche est appropriée?","Référer à un spécialiste en transition de carrière tout en poursuivant vos services financiers de manière distincte, en proposant au client une synthèse des recommandations à intégrer par lui-même plutôt qu'une coordination active.","Offrir un accompagnement de transition limité aux aspects financiers et proposer des outils pratiques (tests de carrière, bilans), en retardant la référence à un spécialiste et en consultant un tiers si des besoins psychologiques apparaissent.","Proposer de suivre une formation courte en coaching de carrière, commencer à accompagner le client sur des objectifs professionnels simples, et coordonner ultérieurement avec un psychologue ou un coach certifié pour les situations complexes.","Reconnaître vos limites, référer le client à un spécialiste qualifié (accompagnateur, psychologue ou coach de carrière) et coordonner, si nécessaire, les services pour intégrer la planification financière.",D,"D est correcte. Cette option reconnaît vos limites professionnelles, oriente le client vers un spécialiste qualifié (accompagnateur, psychologue ou coach de carrière) et prévoit la coordination nécessaire pour intégrer la planification financière. Elle respecte le principe de compétence et de protection du client en référant quand la demande dépasse votre expertise, tout en assurant la continuité des conseils financiers.
Pourquoi B est incorrecte: Elle retarde la référence et propose d'intervenir sur des aspects pour lesquels vous n'êtes pas formé, ce qui expose le client à des conseils inappropriés.
Pourquoi C est incorrecte: Commencer à accompagner après une formation courte signifie agir avant d'avoir la compétence adéquate et risque de retarder la référence nécessaire.
Pourquoi A est incorrecte: Référer sans coordination active crée un cloisonnement qui peut nuire à l'intégration cohérente des recommandations de carrière et des conseils financiers."
,1,"Un client baby‑boomer de 67 ans tient à conserver le contrôle de ses décisions financières mais reconnaît qu'il a besoin de soutien pour rester motivé et appliquer son plan de retraite. Quelle est l'approche la plus appropriée pour vous, en tant que conseiller?","Proposer un accompagnement comportemental structuré (rappels, objectifs mensuels) et progresser vers la prise de décision partagée si la motivation baisse, en consignant les actions sans préciser les compétences externes.",Offrir un accompagnement direct uniquement si vous possédez la compétence; sinon référer le client à un accompagnateur tiers et clarifier/documenter la portée et les responsabilités respectives.,"Recommander la mise en place d'une procuration financière pour qu'un proche gère les décisions opérationnelles à la demande, tout en conservant le client comme référent principal et en documentant l'entente.","Proposer un mandat de gestion discrétionnaire limité pour exécuter le plan et soutenir l'engagement, en définissant des seuils d'autorisation et en documentant la répartition des décisions.",B,"B est correcte. Elle propose d'offrir l'accompagnement direct uniquement si le conseiller possède la compétence et, sinon, de référer le client à un accompagnateur tiers en clarifiant et documentant la portée et les responsabilités, ce qui protège le client et le conseiller. Cette approche respecte l'autonomie du client tout en assurant un soutien adapté et une traçabilité des rôles, et illustre la gestion appropriée du périmètre du conseil. Pourquoi A est incorrecte: Elle ne précise pas la nécessité de clarifier les compétences externes et peut laisser un flou sur la répartition des responsabilités. Pourquoi C est incorrecte: La procuration délègue le contrôle opérationnel et risque d'enlever l'autonomie que souhaite conserver le client. Pourquoi D est incorrecte: Un mandat discrétionnaire transfère des décisions au gestionnaire, en contradiction avec le souhait du client de garder le contrôle."
